feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
"Temperature__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)",Temperature,24.5581,24.9092,0.3511,0.4396,2.0752,24.5682,24.6562,0.2292,38671.0,0.19725369157402428,0.2367
Noise__energy_ratio_by_chunks__num_segments_10__segment_focus_5,Noise,0.1,0.1012,0.0012,0.0016,0.007,0.0999,0.1003,0.2283,40512.0,0.7157591946290771,0.2673
Motor_Current__partial_autocorrelation__lag_5,Motor_Current,-0.0026,0.0392,0.0418,0.2004,0.1661,0.0006,0.0269,0.228,36582.0,0.019317693698007742,0.0181
Temperature__energy_ratio_by_chunks__num_segments_10__segment_focus_4,Temperature,0.0999,0.0994,-0.0005,0.0008,0.0031,0.0999,0.0992,0.2275,50102.0,8.378340032531354e-06,0.2426
"Pressure__fft_coefficient__attr_""angle""__coeff_15",Pressure,88.0292,108.2392,20.21,89.9784,88.1325,0.0,180.0,0.227,36607.0,0.006952653433170053,0.0
"Noise__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",Noise,1.7324,2.3304,0.598,0.6201,3.6036,1.6955,1.9377,0.2263,38308.0,0.14105907378414975,0.2557
"Pressure__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",Pressure,0.0,0.0037,0.0037,0.0003,0.0226,0.0,0.0036,0.226,32155.0,5.010568364004935e-06,0.5516
"Vibration__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",Vibration,0.0052,0.0474,0.0421,0.0282,0.2563,0.0046,0.0208,0.2259,39209.0,0.30819457764372205,0.3366
"Noise__fft_coefficient__attr_""real""__coeff_1",Noise,0.0674,-2.5025,-2.5699,2.8255,15.5564,0.2069,-2.3689,0.225,44574.0,0.09355840085884537,0.345
Noise__ar_coefficient__coeff_3__k_10,Noise,-0.0299,0.0398,0.0697,0.3266,0.2966,-0.0381,0.0313,0.2239,35758.0,0.005896469700423618,0.0069
Motor_Current__ratio_beyond_r_sigma__r_0.5,Motor_Current,0.6341,0.6115,-0.0225,0.0886,0.1117,0.6333,0.6333,0.2224,45677.5,0.02477754178915646,0.0078
"Temperature__fft_coefficient__attr_""angle""__coeff_4",Temperature,3.7141,27.2309,23.5168,109.1316,102.8002,14.9447,56.8561,0.2221,36274.0,0.012626162084755206,0.0217
"Temperature__fft_coefficient__attr_""real""__coeff_6",Temperature,-0.0713,-1.3385,-1.2672,1.033,7.8427,-0.148,-0.7689,0.2216,44485.0,0.10264002145673541,0.3493
Noise__partial_autocorrelation__lag_6,Noise,-0.0734,-0.0315,0.0419,0.2011,0.1787,-0.0764,-0.0165,0.2209,35775.0,0.0060522038538792355,0.033
Motor_Current__max_langevin_fixed_point__m_3__r_30,Motor_Current,15.9231,16.6354,0.7122,0.6417,4.4162,15.9782,15.9782,0.2208,40665.0,0.7313316915351821,0.2761
Vibration__ar_coefficient__coeff_10__k_10,Vibration,-0.0874,0.0072,0.0946,0.2998,0.5244,-0.0832,0.0577,0.2188,31715.0,1.7057244987675537e-06,0.0619
Motor_Current__ratio_beyond_r_sigma__r_1.5,Motor_Current,0.1328,0.1244,-0.0085,0.0399,0.0379,0.1333,0.1333,0.2184,45611.5,0.022798728389047423,0.0214
Noise__ratio_beyond_r_sigma__r_2.5,Noise,0.01,0.0138,0.0039,0.0155,0.0195,0.0,0.0,0.2182,37805.0,0.035655108467096394,0.0149
"Temperature__fft_coefficient__attr_""angle""__coeff_6",Temperature,-4.1198,19.1442,23.264,105.87,107.2792,-1.2223,35.7948,0.2182,36167.0,0.010836696960347947,0.0072
Pressure__partial_autocorrelation__lag_8,Pressure,-0.0918,-0.0484,0.0434,0.1976,0.1999,-0.0854,-0.0339,0.2181,35722.0,0.005578542801944291,0.0108
Vibration__ar_coefficient__coeff_3__k_10,Vibration,-0.0148,0.0527,0.0675,0.2898,0.3337,-0.0245,0.0439,0.2153,35846.0,0.00674344648877896,0.0
"Temperature__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",Temperature,0.031,0.1836,0.1525,0.7302,0.688,0.03,0.3143,0.2153,36640.0,0.020877514701135465,0.0019
Vibration__energy_ratio_by_chunks__num_segments_10__segment_focus_5,Vibration,0.102,0.0967,-0.0053,0.0188,0.029,0.1007,0.0969,0.2145,45947.0,0.017933620657593886,0.0543
"Temperature__fft_coefficient__attr_""angle""__coeff_10",Temperature,-3.5592,19.9302,23.4894,106.5791,112.5122,-20.5795,42.0681,0.2141,36313.0,0.013340720832790068,0.0099
"Pressure__fft_coefficient__attr_""imag""__coeff_11",Pressure,0.0074,0.2123,0.2048,0.1821,1.312,0.0143,0.2268,0.2139,34655.0,0.0009401532954034603,0.3183
Vibration__fourier_entropy__bins_10,Vibration,1.5089,1.4065,-0.1024,0.4808,0.4805,1.6675,1.5093,0.213,47570.5,0.0014538326166576977,0.0
Temperature__symmetry_looking__r_0.1,Temperature,0.9854,0.9468,-0.0386,0.1199,0.2243,1.0,1.0,0.2116,42827.0,0.011827466671288716,0.0089
Temperature__ar_coefficient__coeff_6__k_10,Temperature,-0.1098,-0.0416,0.0682,0.2567,0.3732,-0.1131,-0.0195,0.2113,34459.0,0.0006583561972495489,0.0075
"Temperature__fft_coefficient__attr_""imag""__coeff_9",Temperature,0.0028,1.1839,1.1811,1.1238,7.6778,-0.0674,1.4255,0.2106,33660.0,0.00014013232603062294,0.3182
"Motor_Current__fft_coefficient__attr_""angle""__coeff_7",Motor_Current,6.1897,28.9527,22.763,105.2072,111.1771,10.6774,61.8126,0.21,35854.0,0.006825622080228589,0.0102
"Motor_Current__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",Motor_Current,0.0009,0.0226,0.0218,0.011,0.1436,0.0005,0.0267,0.2089,30552.5,7.879894100680911e-08,0.4059
Motor_Current__partial_autocorrelation__lag_9,Motor_Current,-0.0721,0.0073,0.0794,0.2249,0.4798,-0.0711,-0.0219,0.2087,36007.0,0.00858035103380842,0.0
Vibration__number_peaks__n_10,Vibration,0.3759,0.2791,-0.0968,0.4844,0.4485,0.0,0.0,0.2078,45230.5,0.013384342511759201,0.0337
Vibration__symmetry_looking__r_0.05,Vibration,0.7153,0.6179,-0.0974,0.4513,0.4859,1.0,1.0,0.2073,45253.0,0.013606120255510216,0.0205
"Vibration__fft_coefficient__attr_""imag""__coeff_11",Vibration,0.0044,0.161,0.1566,0.0881,1.0429,0.0044,0.1358,0.2069,35719.0,0.005552760137445035,0.3877
Vibration__max_langevin_fixed_point__m_3__r_30,Vibration,3.1835,3.5551,0.3716,0.0,2.4896,3.1835,3.1835,0.2063,41237.0,1.0,0.1853
Vibration__ratio_beyond_r_sigma__r_3,Vibration,0.0016,0.0035,0.002,0.0071,0.0113,0.0,0.0,0.2059,39201.0,0.023238825963693484,0.0
Vibration__ratio_beyond_r_sigma__r_2.5,Vibration,0.0091,0.013,0.0038,0.0157,0.021,0.0,0.0,0.2055,38542.5,0.08684464428187885,0.0053
"Noise__fft_coefficient__attr_""imag""__coeff_11",Noise,0.0441,2.1083,2.0642,2.3387,13.8834,0.3356,1.2374,0.2029,37153.0,0.040134748433387706,0.257
Pressure__large_standard_deviation__r_0.25,Pressure,0.4051,0.505,0.0999,0.4909,0.5,0.0,1.0,0.2015,37118.5,0.01645769474817762,0.0224
"Temperature__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",Temperature,0.0023,0.0654,0.0631,0.056,0.432,-0.0025,0.04,0.2002,35568.0,0.004385930893448131,0.2715
Noise__permutation_entropy__dimension_5__tau_1,Noise,3.1411,3.1234,-0.0177,0.0884,0.0891,3.1515,3.1515,0.1997,46295.5,0.009744863725511145,0.0021
"Motor_Current__fft_coefficient__attr_""imag""__coeff_8",Motor_Current,0.0375,0.5365,0.499,0.2035,3.4494,0.0454,0.4814,0.1996,34975.0,0.0016494476615242601,0.4565
"Motor_Current__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",Motor_Current,0.3298,0.4504,0.1206,0.0534,0.8367,0.3256,0.3646,0.1989,39070.0,0.27620733275481335,0.3863
"Vibration__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",Vibration,0.002,-0.0395,-0.0415,0.0298,0.2906,0.0012,-0.0352,0.1963,46996.0,0.0038011236866214563,0.3734
Pressure__ar_coefficient__coeff_5__k_10,Pressure,-0.0049,0.0583,0.0632,0.2861,0.3525,-0.0067,0.0382,0.1961,36831.0,0.026815300384588438,0.0068
"Temperature__fft_coefficient__attr_""real""__coeff_15",Temperature,-0.0466,-1.5318,-1.4852,1.4235,10.3891,0.18,-0.91,0.1959,44522.0,0.09878258376434818,0.3409
Motor_Current__partial_autocorrelation__lag_6,Motor_Current,-0.076,-0.0371,0.039,0.21,0.1896,-0.0803,-0.0313,0.1953,36278.0,0.012697857470024842,0.0
Temperature__ar_coefficient__coeff_0__k_10,Temperature,87.485,70.2804,-17.2046,52.628,111.8177,82.2031,51.9317,0.194,51962.0,7.04132204208289e-08,0.078
Temperature__permutation_entropy__dimension_5__tau_1,Temperature,3.1243,3.1416,0.0173,0.0954,0.0854,3.1515,3.1515,0.1918,36978.0,0.02962224223692592,0.0141
"Vibration__fft_coefficient__attr_""angle""__coeff_15",Vibration,90.0,107.0432,17.0432,90.0,88.3715,90.0,180.0,0.1912,37332.5,0.022792247622893433,0.0
"Vibration__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",Vibration,-0.0033,0.031,0.0343,0.0297,0.2464,-0.0032,0.007,0.1909,39291.0,0.3281709630220673,0.3182
"Temperature__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",Temperature,2.2153,1.6445,-0.5708,3.2512,2.7431,0.0,0.0,0.1905,43751.0,0.15838004749335466,0.0
"Noise__fft_coefficient__attr_""imag""__coeff_14",Noise,-0.2062,1.8307,2.0369,2.1649,14.7217,-0.0426,0.7006,0.1894,38270.0,0.13597270680766388,0.325
Motor_Current__ar_coefficient__coeff_3__k_10,Motor_Current,0.0018,0.0596,0.0578,0.2847,0.3227,0.0144,0.0347,0.1894,37901.0,0.09365673712749911,0.0368
"Noise__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",Noise,0.0186,0.0988,0.0802,0.1035,0.5816,0.02,0.1038,0.1878,31626.0,1.3638223437983485e-06,0.2045
"Temperature__agg_autocorrelation__f_agg_""var""__maxlag_40",Temperature,0.1699,0.2004,0.0305,0.1337,0.1863,0.1271,0.1459,0.187,37093.0,0.03729542925847473,0.0049
Motor_Current__energy_ratio_by_chunks__num_segments_10__segment_focus_5,Motor_Current,0.1,0.1012,0.0011,0.0008,0.0084,0.1,0.0998,0.1868,42266.0,0.6052104995617154,0.3917
Pressure__energy_ratio_by_chunks__num_segments_10__segment_focus_5,Pressure,0.0999,0.1008,0.0009,0.0012,0.0063,0.0998,0.0996,0.1862,42750.0,0.4471472114675342,0.3231
Temperature__number_peaks__n_1,Temperature,8.6168,8.8472,0.2304,1.2683,1.2294,9.0,9.0,0.1846,36455.0,0.013230643291394424,0.0
"Motor_Current__fft_coefficient__attr_""angle""__coeff_4",Motor_Current,19.758,38.4835,18.7255,100.5733,102.2827,27.5975,74.5557,0.1845,36828.0,0.026711796339311228,0.0
Temperature__large_standard_deviation__r_0.30000000000000004,Temperature,0.0146,0.0465,0.0319,0.1199,0.2106,0.0,0.0,0.184,39921.0,0.02837445384797104,0.0104
"Motor_Current__fft_coefficient__attr_""imag""__coeff_11",Motor_Current,0.0113,0.4352,0.4239,0.2074,3.1828,0.0139,0.2917,0.1837,36954.0,0.03136772004141403,0.4472
Vibration__kurtosis,Vibration,-0.1041,0.1086,0.2127,0.8281,1.3922,-0.2394,-0.2563,0.1837,40727.0,0.7978939003678703,0.0271
Temperature__longest_strike_below_mean,Temperature,6.1934,6.6711,0.4777,2.1721,2.9404,6.0,6.0,0.1835,39350.5,0.33784746102163365,0.0554
"Temperature__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",Temperature,0.0054,0.0708,0.0654,0.0748,0.4879,0.0,0.0,0.1832,39677.5,0.4306217252720518,0.1585
Vibration__permutation_entropy__dimension_4__tau_1,Vibration,2.6209,2.651,0.0301,0.1542,0.1733,2.6313,2.6703,0.1828,35626.5,0.004802058238256926,0.0061
Temperature__friedrich_coefficients__coeff_0__m_3__r_30,Temperature,-0.1277,0.0007,0.1284,1.011,0.1192,-0.0031,-0.0031,0.1826,36271.0,0.011094400847234008,0.2902
Noise__ar_coefficient__coeff_1__k_10,Noise,-0.0204,0.0369,0.0573,0.3147,0.3134,-0.0106,0.05,0.1825,37151.0,0.040037231536394935,0.0241
Vibration__has_duplicate,Vibration,1.0,0.9834,-0.0166,0.0,0.1278,1.0,1.0,0.1796,41922.0,0.03240869106590877,0.0
Vibration__number_cwt_peaks__n_1,Vibration,6.0657,5.8937,-0.172,0.9681,0.9551,6.0,6.0,0.1789,45877.5,0.013439518664082429,0.0573
"Temperature__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0",Temperature,-0.0047,0.0512,0.056,0.0847,0.4256,-0.0013,0.0088,0.1785,37673.5,0.07333188786105571,0.2115
Vibration__partial_autocorrelation__lag_9,Vibration,-0.1405,-0.0362,0.1043,0.4721,0.6766,-0.0956,-0.0737,0.1774,38113.0,0.11644647510917697,0.0033
"Noise__fft_coefficient__attr_""angle""__coeff_8",Noise,1.4712,20.8098,19.3386,106.263,112.9545,0.2509,51.9039,0.1761,36838.0,0.02705815748019072,0.0404
"Noise__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",Noise,-0.0024,0.0942,0.0966,0.124,0.7504,-0.0027,0.0525,0.1758,36677.5,0.02194337979331589,0.2038
Pressure__ratio_beyond_r_sigma__r_2,Pressure,0.0411,0.0458,0.0047,0.0265,0.0276,0.0333,0.0333,0.1746,37585.0,0.04906956606958757,0.0077
Vibration__ar_coefficient__coeff_2__k_10,Vibration,-0.0508,0.0061,0.0568,0.308,0.344,-0.0466,-0.0132,0.1737,37480.0,0.059024634217243695,0.0386
"Temperature__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",Temperature,0.5718,0.8107,0.2388,0.3339,1.873,0.5609,0.7058,0.1737,38065.0,0.11093829496766475,0.2858
"Pressure__fft_coefficient__attr_""angle""__coeff_9",Pressure,4.1616,22.967,18.8054,102.7887,113.0791,12.7677,53.5117,0.1736,36661.0,0.021468756775192527,0.0048
Noise__has_duplicate_max,Noise,0.0292,0.0066,-0.0226,0.1684,0.0812,0.0,0.0,0.1732,42167.0,0.03908855295484912,0.0018
"Pressure__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.2",Pressure,-0.0005,0.0074,0.0079,0.0102,0.0624,0.0,0.0,0.1727,37879.0,0.0872241402398456,0.1705
"Vibration__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",Vibration,0.099,0.217,0.1179,0.6836,0.683,0.0921,0.3006,0.1726,36823.0,0.026540056281596194,0.0
"Vibration__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",Vibration,0.0001,0.0104,0.0103,0.0057,0.0831,0.0,0.0,0.1703,34428.0,0.0005481191360386894,0.3268
Vibration__friedrich_coefficients__coeff_2__m_3__r_30,Vibration,-0.2283,-2.2723,-2.044,0.0,16.6163,-0.2283,-0.2283,0.17,41237.0,1.0,0.2102
"Noise__fft_coefficient__attr_""angle""__coeff_15",Noise,91.3139,106.4452,15.1313,89.9904,88.4848,180.0,180.0,0.1696,37770.5,0.043159357967888654,0.0133
"Pressure__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",Pressure,0.0001,0.0052,0.0051,0.0002,0.0419,0.0,0.0001,0.1692,33936.5,0.00013977141960388765,0.1635
"Temperature__fft_coefficient__attr_""angle""__coeff_7",Temperature,3.9995,22.0263,18.0268,106.1738,107.5234,5.5289,41.7551,0.1687,37268.0,0.04609082394229337,0.0225
"Temperature__fft_coefficient__attr_""angle""__coeff_14",Temperature,-8.343,10.4453,18.7884,103.9808,117.7609,-12.4736,16.1616,0.1686,37211.0,0.04305163545702151,0.0205
Noise__partial_autocorrelation__lag_7,Noise,-0.0309,0.0017,0.0327,0.1938,0.1982,-0.0295,-0.0252,0.1665,38155.0,0.12144036724989724,0.0018
Motor_Current__permutation_entropy__dimension_3__tau_1,Motor_Current,1.7118,1.7013,-0.0105,0.0637,0.0629,1.7298,1.7156,0.166,46766.0,0.005447867620855007,0.0
"Temperature__fft_coefficient__attr_""imag""__coeff_14",Temperature,-0.0623,0.9058,0.9681,1.0788,7.992,-0.0775,0.1442,0.166,40156.0,0.5870903792081688,0.3461
Motor_Current__ratio_beyond_r_sigma__r_2,Motor_Current,0.0459,0.0506,0.0047,0.0266,0.0313,0.0333,0.0667,0.1628,37814.5,0.06800159242756264,0.0099
"Temperature__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",Temperature,0.0119,0.0948,0.0829,0.0764,0.7033,0.0094,0.0617,0.162,37293.5,0.047507580346254366,0.3621
Motor_Current__permutation_entropy__dimension_6__tau_1,Motor_Current,3.1943,3.1859,-0.0084,0.05,0.054,3.2189,3.2189,0.161,44913.5,0.027611611623397436,0.007
"Pressure__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",Pressure,-0.0041,-0.044,-0.0399,0.048,0.3404,-0.0025,-0.0257,0.1605,44382.0,0.11401076916286594,0.3074
"Motor_Current__fft_coefficient__attr_""angle""__coeff_10",Motor_Current,7.6626,25.3171,17.6545,106.6094,112.9338,13.8979,59.7614,0.1605,37242.0,0.04468281700579647,0.0347
"Vibration__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",Vibration,0.0044,-0.0296,-0.034,0.0288,0.292,0.0054,-0.0247,0.16,46990.0,0.003837791348245596,0.3452
Pressure__large_standard_deviation__r_0.2,Pressure,0.9234,0.9601,0.0368,0.266,0.1956,1.0,1.0,0.1586,39720.5,0.05857874393205163,0.0045
"Pressure__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",Pressure,0.0,0.006,0.006,0.0007,0.0521,0.0,0.0058,0.1585,33719.0,0.00015791444584421983,0.5381
"Temperature__fft_coefficient__attr_""imag""__coeff_8",Temperature,0.2107,1.1586,0.9479,1.0613,8.2337,0.1986,1.0481,0.1579,37340.0,0.050186197252912346,0.3321
Vibration__ratio_beyond_r_sigma__r_1,Vibration,0.336,0.3236,-0.0124,0.0734,0.0839,0.3333,0.3333,0.1571,43533.0,0.2441853838210989,0.0096
Noise__number_peaks__n_5,Noise,1.7336,1.6213,-0.1123,0.7583,0.6936,2.0,2.0,0.1549,44455.0,0.07774113196864098,0.0
"Vibration__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",Vibration,-0.0033,0.0248,0.0281,0.0299,0.2495,-0.0003,0.0039,0.1549,39993.0,0.5319836915744633,0.2941
"Temperature__fft_coefficient__attr_""imag""__coeff_11",Temperature,-0.009,0.7609,0.7699,1.0948,6.795,0.0782,0.9511,0.1548,36709.0,0.022875176830847544,0.334
Vibration__ratio_beyond_r_sigma__r_0.5,Vibration,0.6325,0.6476,0.0151,0.103,0.0933,0.6333,0.6667,0.1544,36939.0,0.02986816064198811,0.0395
Temperature__ar_coefficient__coeff_3__k_10,Temperature,0.0598,0.0098,-0.05,0.2813,0.3597,0.0572,-0.0094,0.1541,45071.0,0.054015798501669765,0.0
"Motor_Current__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",Motor_Current,-0.0008,0.0189,0.0197,0.013,0.1771,0.0,0.0,0.1533,36916.5,0.029103448193993395,0.3184
"Motor_Current__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",Motor_Current,0.0025,0.0328,0.0303,0.0139,0.2733,0.0026,0.024,0.1533,33847.0,0.00020403486946345622,0.421
Temperature__ratio_beyond_r_sigma__r_2,Temperature,0.0427,0.0468,0.0041,0.0257,0.0283,0.0333,0.0333,0.1529,37929.5,0.0745348561344615,0.0
"Temperature__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",Temperature,-0.006,-0.2057,-0.1997,0.3514,1.7776,-0.0204,-0.229,0.1526,45513.0,0.0316456402657196,0.2773
"Temperature__fft_coefficient__attr_""angle""__coeff_15",Temperature,84.0876,97.4751,13.3875,89.8056,89.689,0.0,180.0,0.1492,38170.0,0.07511304881786697,0.0128
"Noise__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",Noise,0.0701,-0.3369,-0.407,0.5807,3.7487,0.0835,-0.2448,0.1484,45960.0,0.01761945884691003,0.2839
Motor_Current__ar_coefficient__coeff_5__k_10,Motor_Current,0.008,0.0618,0.0538,0.3183,0.4025,0.0048,0.0317,0.1475,39606.0,0.412509060695748,0.0
Temperature__permutation_entropy__dimension_4__tau_1,Temperature,2.7036,2.7227,0.0191,0.1335,0.1269,2.7117,2.7436,0.147,36600.0,0.019747644141659658,0.0
Noise__permutation_entropy__dimension_4__tau_1,Noise,2.7282,2.7102,-0.018,0.1206,0.125,2.7436,2.7243,0.1468,44304.5,0.12307630625653079,0.0
"Noise__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",Noise,-0.0013,0.1005,0.1017,0.1493,0.9484,0.0,0.0,0.1466,37930.0,0.09386794448222643,0.1918
"Motor_Current__fft_coefficient__attr_""imag""__coeff_14",Motor_Current,0.0212,0.3598,0.3386,0.2038,3.1973,0.0161,0.1905,0.1461,38690.0,0.20059223539000537,0.4356
"Temperature__fft_coefficient__attr_""real""__coeff_1",Temperature,0.0396,-0.8056,-0.8452,1.7706,7.8425,0.1098,-0.6979,0.1456,45730.0,0.023950521871601266,0.2567
"Motor_Current__fft_coefficient__attr_""angle""__coeff_15",Motor_Current,88.0292,101.0631,13.0339,89.9784,89.3175,0.0,180.0,0.1454,38251.0,0.08271303920010267,0.0
"Vibration__fft_coefficient__attr_""angle""__coeff_9",Vibration,13.5491,29.5518,16.0027,108.4171,112.7243,19.774,60.63,0.1446,37707.0,0.0760763785236992,0.0
"Pressure__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",Pressure,1.635,2.0399,0.4048,2.7917,2.8364,0.0,0.0,0.1438,36921.0,0.016458886131456008,0.0
"Noise__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",Noise,-0.0026,0.0896,0.0922,0.1014,0.8841,0.0,0.0,0.1433,37390.5,0.050866822130186305,0.203
"Temperature__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",Temperature,0.0698,0.259,0.1893,0.3359,1.8025,0.0515,0.1717,0.1429,38252.0,0.1336133501527749,0.2625
Noise__partial_autocorrelation__lag_8,Noise,-0.0856,-0.0563,0.0294,0.2151,0.1971,-0.0747,-0.0523,0.1426,38378.0,0.1508098782800938,0.0
Pressure__symmetry_looking__r_0.15000000000000002,Pressure,1.0,0.99,-0.01,0.0,0.0993,1.0,1.0,0.1387,41648.0,0.09824638640777758,0.0
Motor_Current__permutation_entropy__dimension_4__tau_1,Motor_Current,2.6877,2.6689,-0.0189,0.1408,0.1333,2.7083,2.6729,0.1377,44880.5,0.06702717680841658,0.0031
"Noise__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",Noise,0.0607,-0.3285,-0.3891,0.5485,3.9228,0.0338,-0.2689,0.1359,45050.0,0.05534533128532508,0.3279
"Pressure__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",Pressure,0.0004,0.0097,0.0093,0.0107,0.0942,0.0,0.0,0.1359,38107.0,0.11271728764193838,0.2171
"Motor_Current__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",Motor_Current,0.0001,0.0125,0.0124,0.0005,0.1269,0.0,0.0086,0.1351,35856.0,0.006846306072506467,0.5874
Noise__ar_coefficient__coeff_2__k_10,Noise,-0.1024,-0.0605,0.042,0.3231,0.2999,-0.1041,-0.0568,0.1349,37671.0,0.07313079307374756,0.0
Noise__max_langevin_fixed_point__m_3__r_30,Noise,47.7752,137.2516,89.4764,7.75,916.8914,44.3415,68.9593,0.1349,6719.0,4.8994667215048416e-68,0.423
"Vibration__fft_coefficient__attr_""imag""__coeff_14",Vibration,0.0051,0.1119,0.1068,0.0835,1.0938,0.0091,0.0733,0.1346,38420.0,0.15690214896991253,0.4472
"Temperature__fft_coefficient__attr_""angle""__coeff_11",Temperature,-1.7101,12.9094,14.6195,105.4948,112.993,7.9198,29.2277,0.1335,38029.0,0.10694378346797875,0.0421
"Pressure__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",Pressure,0.0097,0.0418,0.032,0.0433,0.3324,0.0076,0.005,0.1321,42443.0,0.5445930977463751,0.3268
Temperature__ar_coefficient__coeff_5__k_10,Temperature,-0.0311,0.0092,0.0402,0.2648,0.3484,-0.0169,0.0127,0.1293,38720.0,0.20594728158632958,0.0249
"Vibration__fft_coefficient__attr_""real""__coeff_1",Vibration,-0.0391,-0.2021,-0.1629,0.3294,1.7193,0.0113,-0.0392,0.1288,41503.0,0.8938455721675854,0.3784
Motor_Current__symmetry_looking__r_0.15000000000000002,Motor_Current,0.9964,0.9834,-0.013,0.0603,0.1278,1.0,1.0,0.1278,41771.5,0.12728794246178915,0.0029
"Pressure__fft_coefficient__attr_""angle""__coeff_12",Pressure,-6.2893,7.733,14.0223,101.2385,117.2839,-19.2422,26.7323,0.1276,38288.0,0.138364102644949,0.0044
"Pressure__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",Pressure,0.0495,0.0806,0.0311,0.0418,0.3347,0.0504,0.0565,0.1276,39327.0,0.3372006386008817,0.2912
Vibration__symmetry_looking__r_0.1,Vibration,0.9489,0.9169,-0.032,0.2202,0.276,1.0,1.0,0.1274,42555.0,0.12840565820918798,0.0052
Vibration__permutation_entropy__dimension_3__tau_1,Vibration,1.6764,1.6874,0.011,0.0888,0.0848,1.698,1.7161,0.1267,37537.5,0.06298372180064005,0.0312
Pressure__permutation_entropy__dimension_3__tau_1,Pressure,1.7129,1.7053,-0.0076,0.0618,0.0606,1.7288,1.7161,0.1246,44957.5,0.061482781505174486,0.0
Motor_Current__fourier_entropy__bins_100,Motor_Current,2.5542,2.5295,-0.0246,0.1746,0.2186,2.5993,2.5993,0.1237,42371.5,0.5659593758052635,0.0313
Pressure__ar_coefficient__coeff_2__k_10,Pressure,-0.0857,-0.0492,0.0365,0.3039,0.2876,-0.0748,-0.043,0.1235,38183.0,0.12486163196105714,0.0
"Pressure__fft_coefficient__attr_""imag""__coeff_14",Pressure,-0.0042,0.1167,0.121,0.1894,1.3567,-0.0064,0.0356,0.1222,39019.0,0.2650598945252284,0.3263
Motor_Current__fourier_entropy__bins_5,Motor_Current,1.1444,1.1043,-0.0401,0.2905,0.3616,1.1901,1.1901,0.1217,41969.5,0.7128760406767428,0.0
Noise__ratio_beyond_r_sigma__r_2,Noise,0.0401,0.0434,0.0033,0.0252,0.0286,0.0333,0.0333,0.1208,38629.5,0.15867766227652125,0.0234
"Temperature__change_quantiles__f_agg_""mean""__isabs_False__qh_0.2__ql_0.0",Temperature,-0.014,0.0478,0.0618,0.1534,0.6956,0.0,0.0,0.1203,37556.0,0.06395266306054823,0.1634
"Motor_Current__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",Motor_Current,-0.0077,-0.0752,-0.0675,0.0607,0.7736,-0.0067,-0.0542,0.1202,46529.0,0.007825721667924085,0.3692
