feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
"Noise__fft_coefficient__attr_""abs""__coeff_3",Noise,2.9874,20.7748,17.7874,1.5542,12.584,2.8433,18.0958,1.9401,2904.0,1.039604657714905e-82,0.5111
"Motor_Current__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",Motor_Current,0.7051,-0.2961,-1.0012,0.087,0.7095,0.7215,-0.3106,1.9372,78051.0,1.974972808023317e-76,0.5504
"Temperature__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",Temperature,0.05,0.1911,0.1411,0.0154,0.0997,0.0484,0.1736,1.9345,2737.0,2.047300393069721e-83,0.4988
"Vibration__fft_coefficient__attr_""abs""__coeff_10",Vibration,0.1112,1.199,1.0878,0.0575,0.7754,0.1039,1.0294,1.9339,1886.5,4.67598565134042e-87,0.5464
"Noise__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",Noise,0.2244,1.584,1.3596,0.1168,0.9657,0.2055,1.4783,1.933,2686.0,1.2440704181775708e-83,0.5
"Pressure__fft_coefficient__attr_""abs""__coeff_14",Pressure,0.223,1.6965,1.4734,0.121,1.0501,0.2032,1.4901,1.9274,2904.0,1.039604657714905e-82,0.5015
"Vibration__fft_coefficient__attr_""abs""__coeff_11",Vibration,0.1082,1.3064,1.1982,0.0609,0.8572,0.0969,1.145,1.9273,1557.0,1.7295465486752393e-88,0.5519
"Temperature__fft_coefficient__attr_""abs""__coeff_13",Temperature,1.386,8.8451,7.4591,0.7416,5.3072,1.2909,8.0453,1.9254,4912.0,1.8327537253420002e-74,0.453
"Noise__fft_coefficient__attr_""abs""__coeff_7",Noise,2.7303,19.4063,16.676,1.4655,11.8899,2.6167,17.3237,1.9251,2265.0,1.9960221191798656e-85,0.5061
"Pressure__fft_coefficient__attr_""abs""__coeff_6",Pressure,0.2334,1.9339,1.7005,0.1301,1.2168,0.219,1.8286,1.9214,2985.0,2.28059627190861e-82,0.4945
"Vibration__fft_coefficient__attr_""abs""__coeff_5",Vibration,0.1208,1.4131,1.2923,0.0667,0.9279,0.11,1.1985,1.9202,2356.5,4.9191344480193113e-85,0.5545
